TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,7.006455703364186,7.361013496730751,1e-05,7.519147365966085,7.9677828920242595,1e-05,12.66537781632174,13.443187428511166,1e-05,66.10911273250063,65.61604316726527,1e-05,26.35594119535623,27.706958184318697,1e-05,28.39077968130154,29.991978153335673,1e-05,47.67654490821521,50.62645057215088,1e-05,256.0353346451924,254.1886654011626,
0.0001,4.075305025404576,4.188775858357376,0.0001,4.292412416310469,4.485605232792705,0.0001,7.125672054529586,7.529164410235459,0.0001,42.50075238327681,29.963949465041598,0.0001,15.34943671949326,15.746225202878943,0.0001,16.16468597751724,16.879418112589924,0.0001,26.87446856401752,28.32437369956084,0.0001,160.3790942542264,113.08883880766868,
0.001,2.5599135144487706,2.547794900644874,0.001,2.5949723514669887,2.5764084514397285,0.001,4.086512792846351,4.240692036175296,0.001,28.52566093469992,13.562733395727228,0.001,9.475157205815268,9.264663917773687,0.001,9.526883295318607,9.582690115121611,0.001,15.190505085189546,15.909474420745655,0.001,107.38883587240457,50.970412678209655,
0.01,2.398817505848183,2.45339284399959,0.01,2.4976891458150074,2.37991262199789,0.01,2.694819207676158,2.4863524245736555,0.01,6.077419716190203,6.361432712777614,0.01,6.256477517495583,6.030887799760162,0.01,6.809103920806064,5.9811899957705945,0.01,9.189155839565691,9.01366680414238,0.01,22.813762431720647,22.850846771371394,
0.1,9.332690685624799,9.629698262589544,0.1,9.628335938379113,9.610745781813819,0.1,4.403114186789326,2.7337160702082324,0.1,17.28697548384186,10.89389637551363,0.1,5.3725637351884235,5.404020922785291,0.1,6.512397657494147,5.3784695616984575,0.1,8.150710081830884,5.24483762102596,0.1,60.12668287220316,16.163166563462937,
1.0,100.6692928585217,89.48962142099299,1.0,99.91313459721553,93.62769315130282,1.0,132.1167823992164,18.61666437715442,1.0,1444.1538662699525,47.094797566281215,1.0,8.014156610013586,8.426375361466844,1.0,11.853284251067683,8.24006562373517,1.0,42.606479998786,4.77319653287044,1.0,3006.1928206506627,5.4137384477311805,
10.0,3461.3537196002144,1096.8221944191926,10.0,1829.5426019826975,1169.437519130323,10.0,11928.745814596106,463.2366688284616,10.0,217584.29183874122,16210.96198019042,10.0,125.33339947903413,138.0687194082419,10.0,184.89534086245695,98.67225589220381,10.0,2680.1039158350486,31.86819290291732,10.0,248801.37084296902,3452.639625198649,
100.0,1489911.13815795,184063.84833530217,100.0,959132.2636485156,152884.94163626048,100.0,2288017.018005958,19686.607183385986,100.0,48196335.23454012,5789526.873705537,100.0,72366.89282300504,44907.921120689265,100.0,76436.03874689991,26246.58509967343,100.0,922287.6046500844,753.3848905088769,100.0,53184465.93374833,907123.6088460352,
1000.0,1115240702.7359664,55236465.92202195,1000.0,609970696.4889145,52062319.573345564,1000.0,3672160656.930255,1817869.5769990678,1000.0,19801070695.074074,1364654618.8231542,1000.0,104392184.09802969,24657645.72329895,1000.0,28470196.171970386,13895702.828263253,1000.0,567919701.3253342,99848.81498776379,1000.0,25383959972.473278,428711918.49237597,
10000.0,35104484443598.97,27395166959.77248,10000.0,893698478461.8792,23423708128.790615,10000.0,4294453617887.67,321886185.8494085,10000.0,16787957059282.693,465312932154.8905,10000.0,2232369099323.034,13703971332.513617,10000.0,33889014992.10091,7674552738.458737,10000.0,282009441973.6937,29795761.508102298,10000.0,21686687134168.14,236626094066.73987,
